3	F
4	R
20	F
29	F
34	R
36	F
37	F
37	R
61	F
67	F
94	F
106	F
114	F
122	F
123	F
126	F
131	F
137	R
139	F
149	F
150	F
191	F
200	R
203	R
204	F
205	F
206	F
241	F
251	R
255	R
266	R
267	R
275	F
284	F
288	F
311	R
325	R
339	F
340	F
344	F
345	F
361	F
372	F
373	F
374	F
378	F
405	R
417	R
424	R
462	F
481	R
488	R
492	R
493	R
504	R
518	F
522	F
529	F
543	F
548	R
568	F
602	R
603	F
614	R
619	F
643	F
659	R
660	R
669	F
672	F
679	F
702	R
710	F
714	F
715	F
735	F
747	R
773	R
775	F
785	F
786	F
811	F
813	R
819	R
845	R
863	R
877	F
884	F
885	F
886	F
919	R
923	R
933	R
938	R
942	R
961	F
961	R
964	R
965	F
966	F
967	R
970	R
972	F
