14	F
31	R
37	F
40	F
40	R
54	F
56	R
68	F
68	R
69	R
70	R
73	R
85	R
90	F
104	F
111	F
116	F
131	F
135	R
139	F
139	R
142	R
146	R
150	R
152	F
162	R
171	R
175	R
198	R
211	R
212	R
217	R
230	R
236	F
251	R
255	R
262	R
263	R
264	F
269	F
270	F
291	F
296	R
308	R
318	R
323	R
324	R
329	F
332	F
336	R
337	R
340	F
344	F
347	F
367	F
368	F
372	F
390	F
400	R
403	R
404	R
409	R
416	R
423	R
424	R
430	F
440	F
445	F
446	F
463	F
468	F
469	F
470	F
472	R
475	R
484	F
485	F
499	R
500	F
501	F
502	F
503	R
506	F
507	F
512	R
519	R
520	F
530	F
543	R
544	R
549	R
575	F
578	R
581	F
582	F
583	F
596	F
602	F
609	R
610	F
623	F
624	F
636	F
637	R
649	R
650	F
652	R
656	F
657	F
659	R
663	R
674	F
677	F
681	R
689	R
693	F
699	F
729	F
734	R
739	R
740	R
747	R
758	F
772	R
784	R
785	R
801	F
802	F
811	R
